Short_Name,Zone,id,Trench_Name,Lon,Lat,Lon1,Lat1,Lon2,Lat2,Az,UPN,Geodetic_UPS,Seismic_UPS,M56_SP_Name,M56_UP_Name,M56_ARC_Name,M56_ARC_ref,M56_vc,M56_Azvc,M56_Ovc,M56_vcn,M56_vs,M56_Azvs,M56_Ovs,M56_vsn,M56_vd,M56_Azvd,M56_Ovd,M56_vdn,alphaS,alphaD,A,Phi
SAM25,SAM,25,Hispaniola,290.0,20.0,290.7,22.6,288.0,12.1,194.0,1,SS-C,-999,NORTH_AMERICA,CARIBBEAN,NORTH HISPANIOLA,Calais et al. (2023),20.0,253.0,59.0,10.0,2.0,261.0,67.0,1.0,18.0,252.0,58.0,9.0,31.0,-999.0,-999.0,-999.0
SAM26,SAM,26,Puerto-Rico,292.0,19.6,291.8,22.4,292.6,11.6,176.0,1,SS-C,-999,NORTH_AMERICA,CARIBBEAN,NORTH HISPANIOLA,Calais et al. (2023),20.0,253.0,77.0,4.0,16.0,256.0,80.0,3.0,4.0,242.0,66.0,2.0,36.0,59.0,117.0,254.0
SAM27,SAM,27,Puerto-Rico,294.0,19.8,293.8,22.5,294.6,11.7,176.0,1,SS,-999,NORTH_AMERICA,CARIBBEAN,PUERTO-RICO,Calais et al. (2023),20.0,253.0,77.0,4.0,16.0,251.0,75.0,4.0,4.0,260.0,84.0,0.0,28.0,49.0,109.0,267.0
SAM28,SAM,28,Antilles,296.0,19.8,296.3,22.5,295.3,11.7,185.0,2,SS,-999,NORTH_AMERICA,CARIBBEAN,PUERTO-RICO,Calais et al. (2023),20.0,253.0,68.0,7.0,17.0,247.0,62.0,8.0,4.0,280.0,95.0,0.0,26.0,49.0,98.0,468.0
SAM29,SAM,29,Antilles,298.0,19.3,299.2,21.7,294.5,11.9,205.0,2,Neutral,-999,NORTH_AMERICA,CARIBBEAN,-999,-999,20.0,253.0,48.0,13.0,20.0,253.0,48.0,13.0,0.0,-999.0,-999.0,0.0,23.0,47.0,89.0,649.0
SAM3,SAM,3,Central America,258.0,16.9,256.8,14.4,261.7,24.2,25.0,1,SS-E,-999,COCOS,NORTH_AMERICA,SOUTHERN MEXICO,"Andreani et al., (2008)",63.0,32.0,7.0,63.0,67.0,24.0,1.0,67.0,10.0,141.0,116.0,-5.0,28.0,72.0,6.0,286.0
SAM30,SAM,30,Antilles,299.8,18.0,302.0,19.7,293.5,12.7,230.0,2,Neutral,-999,NORTH_AMERICA,CARIBBEAN,-999,-999,20.0,253.0,23.0,18.0,20.0,253.0,23.0,18.0,0.0,-999.0,-999.0,0.0,21.0,48.0,80.0,793.0
SAM31,SAM,31,Antilles,301.2,16.0,303.8,16.9,293.4,13.1,250.0,2,Neutral,-999,NORTH_AMERICA,CARIBBEAN,-999,-999,20.0,253.0,3.0,20.0,20.0,253.0,3.0,20.0,0.0,-999.0,-999.0,0.0,22.0,44.0,81.0,866.0
SAM32,SAM,32,Antilles,302.3,14.0,304.9,14.9,294.5,11.2,251.0,2,Neutral,-999,SOUTH_AMERICA,CARIBBEAN,-999,-999,20.0,253.0,2.0,20.0,20.0,253.0,2.0,20.0,0.0,-999.0,-999.0,0.0,16.0,45.0,85.0,835.0
SAM33,SAM,33,Antilles,302.6,12.0,305.3,11.6,294.4,13.0,278.0,2,Neutral,-999,SOUTH_AMERICA,CARIBBEAN,-999,-999,20.0,253.0,25.0,18.0,20.0,253.0,25.0,18.0,0.0,-999.0,-999.0,0.0,13.0,44.0,93.0,770.0
SAM34,SAM,34,Andean,281.9,5.0,279.4,6.0,289.3,1.8,113.0,1,SS-C,-999,NAZCA,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),59.0,76.0,37.0,47.0,51.0,77.0,36.0,41.0,8.0,67.0,46.0,6.0,26.0,41.0,14.0,314.0
SAM35,SAM,35,Andean,280.9,3.5,278.6,4.8,287.9,-1.4,120.0,1,SS-C,-999,NAZCA,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),60.0,77.0,43.0,43.0,52.0,78.0,42.0,38.0,8.0,67.0,53.0,5.0,26.0,39.0,12.0,243.0
SAM36,SAM,36,Andean,279.9,2.0,277.5,3.1,287.2,-1.4,115.0,1,SS-C,-999,NAZCA,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),61.0,77.0,38.0,48.0,52.0,79.0,36.0,42.0,8.0,68.0,47.0,6.0,24.0,34.0,12.0,243.0
SAM37,SAM,37,Andean,279.0,0.0,276.4,0.8,286.7,-2.4,107.0,1,C-SS,-999,NAZCA,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),62.0,78.0,29.0,54.0,54.0,80.0,27.0,48.0,8.0,69.0,38.0,7.0,21.0,34.0,16.0,352.0
SAM38,SAM,38,Andean,278.5,-2.0,275.9,-1.4,286.4,-3.7,102.0,1,C-SS,-999,NAZCA,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),63.0,79.0,23.0,58.0,55.0,81.0,21.0,51.0,8.0,69.0,33.0,7.0,16.0,52.0,23.0,624.0
SAM39,SAM,39,Andean,278.1,-4.0,275.4,-3.9,286.2,-4.1,91.0,1,C-SS,-999,NAZCA,SOUTH_AMERICA,NORTH ANDES,Jarrin et al. (2023),64.0,79.0,12.0,63.0,56.0,81.0,10.0,55.0,9.0,69.0,22.0,8.0,10.0,52.0,30.0,793.0
SAM4,SAM,4,Central America,260.0,16.3,258.6,13.9,264.4,23.3,30.4,1,SS-E,-999,COCOS,NORTH_AMERICA,SOUTHERN MEXICO,"Andreani et al., (2008)",67.0,32.0,2.0,67.0,69.0,24.0,6.0,69.0,10.0,133.0,103.0,-2.0,17.0,67.0,8.0,335.0
