lon,lat,subducting_plate_id,trench_plate_id,trench_normal_azimuth_deg,arc_segment_length_km,conv_mag_cm_yr,conv_obliquity_deg,conv_perp_cm_yr,conv_parallel_cm_yr,v_T_perp,v_T_parallel,v_OP_perp,v_OP_parallel,seafloor_age_Ma,dist_nearest_trench_edge_km,zone_id,trench_zone_width_km,upper_plate_nature
120.967393,23.308052,602,612,101.558378,27.798771,-0.001633,-159.972219,-0.001535,-0.000559,-2.462352,0.893042,2.462352,0.893042,,375.646269,18,1345.115776,continental
120.858705,22.818154,602,612,101.515799,55.597542,-0.001453,-159.920246,-0.001364,-0.000499,-2.462602,0.892904,2.462981,0.893042,,431.243811,18,1345.115776,continental
120.750797,22.328183,602,612,101.474377,55.597542,-0.001228,-159.869871,-0.001153,-0.000423,-2.462851,0.892835,2.463422,0.893042,,486.841352,18,1345.115776,continental
120.643643,21.838141,602,612,101.434092,55.597542,-0.000944,-159.828025,-0.000887,-0.000326,-2.463101,0.892833,2.463676,0.893042,,542.438894,18,1345.115776,continental
120.537222,21.348030,602,612,101.394927,55.597542,-0.000568,-159.801601,-0.000533,-0.000196,-2.463351,0.892900,2.463742,0.893042,,598.036436,18,1345.115776,continental
120.431511,20.857853,602,612,101.356866,55.597542,-0.000029,-159.796561,-0.000027,-0.000010,-2.463600,0.893035,2.463620,0.893042,,653.633978,18,1345.115776,continental
120.411919,20.358480,602,612,91.688328,55.597542,-0.000162,-149.788067,-0.000140,-0.000082,-2.278220,1.293684,2.278496,1.293841,,709.231520,18,1345.115776,continental
120.396256,19.858696,602,612,91.682943,55.597542,-0.000217,-149.713199,-0.000187,-0.000109,-2.277625,1.293617,2.278019,1.293841,,764.829062,18,1345.115776,continental
120.380692,19.358911,602,612,91.677720,55.597542,-0.000176,-149.639756,-0.000152,-0.000089,-2.277030,1.293648,2.277370,1.293841,,820.426604,18,1345.115776,continental
120.365223,18.859125,602,612,91.672656,55.597542,-0.000058,-149.679476,-0.000050,-0.000030,-2.276435,1.293778,2.276547,1.293841,,876.024145,18,1345.115776,continental
120.179911,18.405651,602,612,120.379327,55.597542,-0.000141,-176.741941,-0.000141,-0.000008,-2.617166,0.038781,2.617278,0.038783,,931.621687,18,1345.115776,continental
