time_Ma,segment,geo_ups,geo_zone,n_samples,n_age,median_age_Ma,median_width_km,median_edge_km,median_lon,median_lat,is_E,is_C,age_ge_55,edge_near
11.0,Cascadia,N,Cascadia_no_backarc,28,18,8.5926805,1643.589109,439.99657349999995,-122.7739265,45.7890185,0,0,0.0,1
11.0,Hellenic,E,Aegean_rifting,22,19,228.385483,6344.042344,574.6392225,24.206347,33.604277499999995,1,0,1.0,1
11.0,Izu-Bonin,N,Izu_Bonin_post_Shikoku,22,22,105.437096,10015.777615,1030.4161434999999,143.03976849999998,29.3669765,0,0,1.0,1
11.0,Japan,N,Japan_post_opening_neutral,19,19,91.728241,10015.777615,277.987709,141.399456,37.975332,0,0,1.0,1
11.0,Mariana,N,IBM_post_PV_gap,30,30,116.1591645,10015.777615,413.331842,146.8575485,17.176718,0,0,1.0,1
11.0,NewHebrides,E,North_Fiji_Basin,15,15,45.155228,1405.062445,611.57296,167.37298,-13.105462,1,0,0.0,1
11.0,Scotia,E,East_Scotia_Ridge,12,9,50.630795,474.681752,70.548251,-33.825168000000005,-58.9408795,1,0,0.0,1
12.0,Andes,C,Central_Andes_shortening,46,46,71.881912,7219.647121,1520.7148225,-72.2456885,-20.7536195,0,1,1.0,0
12.0,Cascadia,N,Cascadia_no_backarc,28,18,7.8125,1699.105901,467.1437855,-122.54809900000001,45.817222,0,0,0.0,1
12.0,Hellenic,E,Aegean_rifting,21,18,240.052223,6218.716615,573.293737,24.459093,33.5527,1,0,1.0,1
12.0,Izu-Bonin,N,Izu_Bonin_post_Shikoku,23,23,103.856552,10227.286603,987.793003,142.874685,29.470823,0,0,1.0,1
12.0,Japan,N,Japan_post_opening_neutral,16,16,88.8749235,10227.286603,243.707563,141.109273,38.2599605,0,0,1.0,1
12.0,Mariana,N,IBM_post_PV_gap,30,30,109.3340305,10227.286603,413.331842,147.0535885,17.088571,0,0,1.0,1
12.0,NewHebrides,E,North_Fiji_Basin,14,14,48.7566145,2399.0291315,694.969273,167.4730765,-12.8433245,1,0,0.0,1
12.0,Scotia,E,East_Scotia_Ridge,17,15,48.55703,810.369135,111.195084,-34.231164,-58.160815,1,0,0.0,1
13.0,Andes,C,Central_Andes_shortening,46,46,73.381363,7094.450703,1518.011303,-72.125682,-20.887828,0,1,1.0,0
13.0,Cascadia,N,Cascadia_no_backarc,28,18,6.8125,1744.6405,491.934006,-122.346338,45.934115000000006,0,0,0.0,1
